epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,0.100000001490116,0.0987413194444444,0.100000001490116,0.098,34.1372125148773
2,0.0999256890490014,0.0959869123931624,0.0994877618670464,0.0726,33.9999878406525
3,0.094329245818349,0.157118055555556,0.0949435336470604,0.1358,34.1584899425507
4,0.0899014555586454,0.315104166666667,0.0931201750040054,0.3057,34.9459049701691
5,0.0852012865436383,0.357622195512821,0.0857777490615845,0.3289,34.5690925121307
6,0.0803294465041313,0.39977297008547,0.0801527417778969,0.3877,37.0915875434875
7,0.0756039921130635,0.469701522435897,0.0736567880749702,0.4647,36.4465799331665
8,0.0695250919247922,0.545890090811966,0.0651398046731949,0.547,37.3767118453979
9,0.0638034808107166,0.618372729700855,0.0590024914324284,0.6172,37.4072649478912
10,0.0599963146651912,0.66581530448718,0.0549986760258675,0.6392,37.5199310779572
11,0.0573698467312333,0.686598557692308,0.0520413243293762,0.6688,41.2482419013977
12,0.0553535581048992,0.708850827991453,0.0501807662129402,0.6757,36.4926376342773
13,0.0536522290502221,0.72327390491453,0.0488117494821548,0.6829,36.2306702136993
14,0.0522367860962692,0.734074519230769,0.0473654988348484,0.6994,35.4744882583618
15,0.0510670530060545,0.745392628205128,0.0462409352481365,0.7123,36.1910557746887
16,0.0500796138921864,0.758747329059829,0.0454895525097847,0.7213,36.2792327404022
17,0.04921107331657,0.766326121794872,0.0445464361131191,0.7306,38.7869992256165
18,0.0484077759469167,0.775991586538462,0.0434446660995483,0.7482,37.5422904491425
19,0.0476961517626913,0.784204727564102,0.0425190918684006,0.7614,36.7706758975983
20,0.0470623680366538,0.790765224358974,0.0416463715851307,0.7749,35.5562264919281
21,0.0464427274150344,0.799111912393162,0.0410173766553402,0.778,34.6887624263763
22,0.0459112759249715,0.802784455128205,0.0404188132226467,0.7842,36.2302947044373
23,0.0454234862859305,0.807057959401709,0.0396566233098507,0.7955,35.4767816066742
24,0.0449792622214454,0.810346554487179,0.0389722861945629,0.8028,35.8813261985779
25,0.0445706218990505,0.814236111111111,0.0386337161660194,0.805,34.9959232807159
26,0.044203454349986,0.817073985042735,0.0382144065320492,0.8091,36.3761942386627
27,0.0438787490925473,0.819127270299145,0.0379003960430622,0.8114,35.769978761673
28,0.0435541082714867,0.821297409188034,0.0373559407353401,0.8168,35.327944278717
29,0.0432298964876522,0.824051816239316,0.0370879270911217,0.8187,35.5911800861359
30,0.0429480076950585,0.825838007478632,0.0366480498433113,0.8236,36.970118522644
