epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,0.0999995672231556,0.0969217414529915,0.100000001776218,0.098,35.760555267334
2,0.0968868609549653,0.154580662393162,0.0966407984972,0.2006,35.1768836975098
3,0.0911813948430821,0.240601629273504,0.093929624581337,0.2547,35.0904886722565
4,0.0875282756124551,0.327073317307692,0.0893973185539246,0.356,35.7584388256073
5,0.0817480395014724,0.443943643162393,0.0813788364648819,0.4485,35.9222900867462
6,0.0729958330177599,0.582682291666667,0.0684745075702667,0.5681,37.5985598564148
7,0.0630784545125615,0.668987045940171,0.057907516336441,0.6249,37.73188829422
8,0.0576382038605391,0.719200721153846,0.0522215756595135,0.6713,38.1340453624725
9,0.0543713336730869,0.751201923076923,0.0478345999777317,0.7229,39.314591884613
10,0.0518715051440602,0.773420806623932,0.0447961253762245,0.7573,42.157598733902
11,0.0498939984613377,0.788745325854701,0.0425688505351543,0.7764,40.8600494861603
12,0.0483775187490715,0.79759281517094,0.0410771748661995,0.7877,42.6919736862183
13,0.0472418945680699,0.805238381410256,0.0398746248722076,0.7976,37.4003779888153
14,0.0463335132385548,0.808727297008547,0.0387695749223232,0.8073,38.2569923400879
15,0.0456092497811486,0.814569978632479,0.0382576001644134,0.8107,38.3298296928406
16,0.0450312379015307,0.817975427350427,0.0379284247338772,0.8109,36.7129180431366
17,0.044525416337081,0.820496127136752,0.037306625264883,0.8193,36.8005788326263
18,0.0440690499276687,0.822699652777778,0.0368534250080585,0.8228,36.2457478046417
19,0.0436727070989899,0.82503672542735,0.0366162250995636,0.8245,39.615464925766
20,0.0433187757212764,0.827190170940171,0.0362636250078678,0.8273,36.0385298728943
21,0.0429885118610711,0.829210069444444,0.036152900403738,0.8279,35.8932905197144
22,0.0426761258998488,0.830578926282051,0.0357392248272896,0.8286,36.2135684490204
23,0.042390755791631,0.83223157051282,0.0359344998657703,0.8244,36.8398864269257
24,0.0421015254309417,0.833600427350427,0.0353374749898911,0.8314,36.1017265319824
25,0.0418592194954936,0.835253071581196,0.0351144248664379,0.8342,35.2125067710876
26,0.0416330825219042,0.836538461538462,0.0349628750324249,0.8341,36.1443057060242
27,0.0414082293167838,0.838641826923077,0.0347651753127575,0.8347,35.9288144111633
28,0.041189189045093,0.839192708333333,0.034613300126791,0.8368,34.7819192409515
29,0.0409662704437207,0.839977297008547,0.0345560749232769,0.8357,35.3786385059357
30,0.0407655045039888,0.841646634615385,0.0342274380385876,0.8389,34.0482017993927
